Emp_ID,Name,Age,Salary (INR),Experience (Years),City,Department,Performance Rating
162,Vinod Gupta,34,2911515,29,Kolkata,HR,3.6
123,Priya Kapoor,31,2836840,22,Chennai,Finance,null
236,Meera Pandey,54,2661075,2,Mumbai,Operations,4.7
293,Riya Reddy,36,1005519,32,Mumbai,Finance,4.6
134,Sneha Verma,51,2941427,25,Kolkata,it,4.4
112,Suresh Kumar,30,2606043,34,Pune,Operations,4.2
300,Rohit Kumar,58,1741748,-,MUMBAI,Sales,5
264,Manish Saxena,28,2269185,21,Hyderabad,IT,3.1
107,Swati Saxena,31,1334430,35,Ahmedabad,Operations,3
128,Pankaj Yadav,51,1254604,13,Chennai,Management,4.1
227,Alok Bansal,31,2919255,22,delhi,,4.1
297,Vinod Gupta,39,832207,9,Hyderabad,Management,3.5
242,Ayesha Verma,44,1375603,14,Kochi,Operations,2.8
105,Sameer Desai,35,599483,11,Kolkata,Sales,4.8
133,Nitin Mehta,27,2954746,6,Kolkata,HR,null
210,Amit Nair,28,1706309,null,Bangalore,Sales,
288,Amit Choudhary,34,2101675,14,Mumbai,Management,3
216,Neha Khanna,-,1101545,4,Hyderabad,Management,4.7
249,Meera Patil,-,1808070,4,Jaipur,Sales,4.8
111,Amit Choudhary,42,769207,20,Kolkata,IT,N/A
163,Priya Sharma,37,1603380,NaN,Jaipur,Marketing,3.7
219,Vinod Reddy,-,2003769,11,Bangalore,Marketing,-
251,Neha Khanna,56,1216084,6,Kochi,IT,2.8
271,Priya Pandey,24,2677265,3,Chennai,Operations,2.9
101,Rahul Singh,23,1327150,7,Kochi,it,3
285,Suresh Bansal,54,403023,19,Mumbai,Marketing,3.3
284,Rahul Joshi,43,NaN,17,Kochi,Marketing,3.6
171,Sneha Mishra,53,900279,17,Delhi,Sales,4.2
259,Sunil Pandey,36,999999999,12,Pune,IT,4.9
165,Vinod Nair,54,310759,20,Ahmedabad,Sales,3.6
145,Ramesh Choudhary,29,2673693,23,Hyderabad,Marketing,4.6
266,Manish Khanna,51,1777133,35,Kochi,IT,-
129,Neha Nair,23,1395615,N/A,Pune,Management,4
141,Alok Gupta,38,1187767,22,Pune,Management,4.6
209,Arjun Kumar,49,1231294,23,Pune,Operations,inf
224,Sneha Verma,26,2307666,27,Mumbai,Finance,3.6
124,Deepika Gupta,22,848697,17,Jaipur,Sales,2.8
256,Amit Sharma,41,2583569,25,Kolkata,HR,4.8
290,Kiran Patil,27,-45000,8,Bangalore,Sales,3.9
182,Kavita Bansal,35,1277267,10,MUMBAI,HR,4.5
140,Kiran Joshi,32,835309,null,Ahmedabad,IT,3.6
273,Suresh Kumar,27,,15,Hyderabad,Operations,3.5
148,Manish Nair,33,1788243,22,Ahmedabad,Finance,3.8
195,Rajesh Joshi,24,2228349,21,Ahmedabad,Marketing,
259,Sunil Pandey,36,999999999,12,Pune,IT,4.9
144,Ramesh Singh,23,2715066,25,Kolkata,Marketing,3.1
243,Rohit Mishra,N/A,1246535,4,Hyderabad,IT,2.8
104,Rahul Choudhary,45,inf,19,Kolkata,Sales,4.1
206,Alok Choudhary,32,483259,16,Ahmedabad,Marketing,3.1
154,Rajesh Mishra,29,2045560,15,Pune,Sales,4
234,Kiran Choudhary,29,705511,22,Hyderabad,HR,NaN
286,Kavita Pandey,52,709460,29,delhi,IT,4.1
262,Kiran Choudhary,24,1089214,14,Hyderabad,IT,3
291,Manish Kapoor,33,2353707,12,Jaipur,Management,2.5
150,Sameer Khanna,57,2084692,22,Jaipur,Finance,4.3
181,Anjali Verma,35,2804611,4,Kolkata,Management,2.7
135,Ayesha Pandey,inf,809014,30,Kochi,Management,4
108,Arjun Khanna,27,759901,11,Pune,Sales,5
211,Kavita Kumar,57,2853828,8,Kolkata,IT,4.1
192,Suresh Bansal,27,952549,4,Chennai,Sales,3.6
184,Suresh Desai,54,2195848,3,Kochi,Marketing,2.7
282,Manish Kumar,41,946523,N/A,Jaipur,Operations,4.8
287,Alok Mishra,55,971657,28,Kolkata,Marketing,4.1
190,Rohit Mishra,49,2907698,2,Banglore,Marketing,4.8
109,Neha Sharma,29,2552216,22,Pune,IT,4.7
114,Pankaj Verma,24,597197,18,Kolkata,Marketing,3.9
160,Deepika Mehta,49,2362447,31,Hyderabad,IT,3.3
277,Swati Verma,57,1318135,11,Bangalore,Finance,2.9
232,Kavita Bansal,,2375736,31,Delhi,Sales,3.2
118,Anjali Patil,49,2631061,32,Chennai,IT,3.9
173,Rohit Patil,-,1960129,4,Jaipur,Finance,3.1
281,Neha Mehta,-,2236183,14,Chennai,IT,4.5
235,Sunil Nair,52,924702,33,Ahmedabad,Sales,4.3
272,Amit Yadav,31,1970574,20,Kolkata,Management,4.7
299,Suresh Verma,51,1802495,35,Pune,Sales,4.6
164,Arjun Reddy,48,2280633,10,Ahmedabad,HR,3.2
155,Rohit Choudhary,25,716215,14,Chennai,HR,3.9
208,Sunil Reddy,25,1856976,7,Kochi,Finance,2.9
151,Nitin Kapoor,33,2330876,34,Mumbai,Finance,N/A
116,Priya Mishra,34,2181621,12,Kolkata,IT,4.7
270,Ramesh Verma,24,1890748,NaN,Bangalore,Management,4.5
159,Amit Verma,36,2712559,2,Chennai,Management,3.7
149,Pankaj Iyer,53,1307991,32,Delhi,HR,3.1
189,Riya Patil,41,2723965,10,Kolkata,Finance,3.4
122,Alok Saxena,56,2865562,N/A,Chennai,IT,2.8
158,Ramesh Saxena,29,1575450,18,Jaipur,FINANCE,4.3
261,Vinod Kapoor,55,1318622,22,Jaipur,IT,null
298,Rahul Reddy,48,616738,6,Chennai,Finance,3.7
230,Pankaj Saxena,29,1339847,4,Pune,Sales,4.7
138,Vinod Iyer,43,,25,Ahmedabad,IT,4.4
258,Swati Saxena,36,536743,19,Ahmedabad,Operations,4.5
294,Suresh Gupta,50,inf,20,Delhi,Finance,2.7
102,Amit Kapoor,34,2585650,29,Delhi,HR,3.4
153,Alok Gupta,38,NaN,26,Ahmedabad,IT,4.5
250,Suresh Patil,29,1537477,15,Bangalore,Sales,4
231,Meera Bansal,42,968330,33,Chennai,IT,3.8
252,Arjun Yadav,58,990118,34,Kolkata,Sales,3.8
204,Meera Kumar,55,2075895,2,Bangalore,Finance,3.7
200,Ramesh Verma,27,2426796,3,Ahmedabad,Finance,3.8
217,Swati Nair,33,2386764,34,Mumbai,IT,5
188,Nitin Desai,30,2759812,22,Pune,Marketing,3.6
175,Vinod Mehta,34,2562440,24,Chennai,Finance,4.9
222,Ramesh Khanna,34,610596,29,Hyderabad,Marketing,3.9
229,Anjali Yadav,43,1611066,21,Hyderabad,HR,3.8
121,Rahul Patil,51,999999999,inf,Kochi,Finance,4.7
289,Anjali Singh,38,2353044,21,Ahmedabad,IT,4.6
172,Anjali Desai,41,2079680,30,Kolkata,Management,3.1
207,Manish Yadav,45,2692512,30,Pune,Sales,4.5
115,Manish Iyer,34,2107959,27,Delhi,Marketing,3.5
193,Suresh Pandey,29,765105,32, Hyd ,Hr,3.3
280,Alok Joshi,42,2954585,16,Chennai,Sales,4.8
203,Sneha Kumar,43,893193,20,Pune,Marketing,3.3
